"id","original_code","error_type","error_message","error_line","target_action","fixed_code","complexity"
"9759","let player = 99;
print(""hello);
    let size = player * 2;
    print(size);
} else {
    print(player);
}","Lexical","Unterminated string","2","INSERT_QUOTE","let player = 99;
print(""hello"");
    let size = player * 2;
    print(size);
} else {
    print(player);
}","medium"
"9760","let arr = [42, 15, 0, 5, 9];
let max = 0;
max[0] = 1;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}
let value = max;
print(value);
if (value == 0) {
    print(""Zero"");
}","Semantic","'max' is not an array","3","MAKE_ARRAY","let arr = [42, 15, 0, 5, 9];
let max = [0, 0];
max[0] = 1;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}
let value = max;
print(value);
if (value == 0) {
    print(""Zero"");
}","long"
"9761","for (let name = 0; name < 0; name = name + 1) {
for (let name = 0; name < 0; name = name + 1) {
    if (name > 2) {
        print(name);
    }
}","Semantic","Variable 'name' already declared","2","REMOVE_LET_OR_RENAME","for (let name = 0; name < 0; name = name + 1) {
for (name = 0; name < 0; name = name + 1) {
    if (name > 2) {
        print(name);
    }
}","medium"
"9762","for (let total = 0; total < 3; total = total + 1) {
    if (total > 2) {
        print(total);
print(""hello);
}","Lexical","Unterminated string","4","INSERT_QUOTE","for (let total = 0; total < 3; total = total + 1) {
    if (total > 2) {
        print(total);
print(""hello"");
}","medium"
"9763","let total = 0;
while (total < 10) {
    for (let k = 0; k < 3; k = k + 1) {
        print(k);
    }
    total = total + 1;
}
print(""hello);","Lexical","Unterminated string","8","INSERT_QUOTE","let total = 0;
while (total < 10) {
    for (let k = 0; k < 3; k = k + 1) {
        print(k);
    }
    total = total + 1;
}
print(""hello"");","medium"
"9764","let max = 0;
while (max < 1) {
    print(max);
    max = max + 1;
print(""hello);","Lexical","Unterminated string","5","INSERT_QUOTE","let max = 0;
while (max < 1) {
    print(max);
    max = max + 1;
print(""hello"");","medium"
"9765","for (let arr = 0; arr < 42; arr = arr + 1) {
    if (arr > 2 {
        print(arr);
    }
}","Syntactic","Expected ')'","2","INSERT_RPAREN","for (let arr = 0; arr < 42; arr = arr + 1) {
    if (arr > 2) {
        print(arr);
    }
}","medium"
"9766","for (let flag = 0; flag < 0; flag = flag + 1) {
    if (flag > 2) {
        print(flag);
    }
","Syntactic","Expected '}' to close block","5","INSERT_RBRACE","for (let flag = 0; flag < 0; flag = flag + 1) {
    if (flag > 2) {
        print(flag);
    }
}","medium"
"9767","let total = 0;
while (total < 42) {
    if (total > 3) {
        print(total);
    }
    total = total + 1;
","Syntactic","Expected '}' to close block","7","INSERT_RBRACE","let total = 0;
while (total < 42) {
    if (total > 3) {
        print(total);
    }
    total = total + 1;
}","medium"
"9768","let total = [10, 20, 30, 40, 50];
let name = 30;
name[0] = 1;
let x = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (total[i] == name) {
        x = 1;
    }
}
if (x == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
}","Semantic","'name' is not an array","3","MAKE_ARRAY","let total = [10, 20, 30, 40, 50];
let name = [0, 0];
name[0] = 1;
let x = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (total[i] == name) {
        x = 1;
    }
}
if (x == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
}","long"
"9769","sum = 5;
if (sum > 0) {
    print(sum);
}","Semantic","Variable 'sum' used before declaration","1","PREPEND_LET","let sum = 5;
if (sum > 0) {
    print(sum);
}","medium"
"9770","for (let total = 0; total < 5; total = total + 1) {
    if (total > 2 {
        print(total);
    }
}","Syntactic","Expected ')'","2","INSERT_RPAREN","for (let total = 0; total < 5; total = total + 1) {
    if (total > 2) {
        print(total);
    }
}","medium"
"9771","let found = 3;
found[0] = 1;
print(found);","Semantic","'found' is not an array","2","MAKE_ARRAY","let found = [0, 0];
found[0] = 1;
print(found);","short"
"9772","let name = [10, 20, 30, 40, 50];
let i = 30;
let flag = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (name[i] == i) {
        flag = 1;
    }
}
if (flag == 1) {
    print(""Found"");
} else {
    print(""Not Found"")$;
}","Lexical","Unexpected character '$'","12","DELETE_CHAR_AT_INDEX","let name = [10, 20, 30, 40, 50];
let i = 30;
let flag = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (name[i] == i) {
        flag = 1;
    }
}
if (flag == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
}","long"
"9773","for (let flag = 0; flag < 10; flag = flag + 1 {
    let temp = flag * 100;
    print(temp);
}","Syntactic","Expected ')'","1","INSERT_RPAREN","for (let flag = 0; flag < 10; flag = flag + 1) {
    let temp = flag * 100;
    print(temp);
}","medium"
"9774","let arr = [3, 100, 0, 5, 9];
let max = 0;
max[0] = 1;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}
let sum = max;
print(sum);
if (sum == 0) {
    print(""Zero"");
}","Semantic","'max' is not an array","3","MAKE_ARRAY","let arr = [3, 100, 0, 5, 9];
let max = [0, 0];
max[0] = 1;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}
let sum = max;
print(sum);
if (sum == 0) {
    print(""Zero"");
}","long"
"9775","let arr = 20;
print(arr)&;","Lexical","Unexpected character '&'","2","DELETE_CHAR_AT_INDEX","let arr = 20;
print(arr);","short"
"9776","let arr = [1, 10, 0, 5, 9];
let max = 0;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }

let total = max;
print(total);
if (total == 0) {
    print(""Zero"");
}","Syntactic","Expected '}' to close block","7","INSERT_RBRACE","let arr = [1, 10, 0, 5, 9];
let max = 0;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}
let total = max;
print(total);
if (total == 0) {
    print(""Zero"");
}","long"
"9777","let name = 0;
while (name < 7) {
    for (let k = 0; k < 10; k = k + 1) {
        print(k);
    }
    name = name + 1;
}
print(name)?;","Lexical","Unexpected character '?'","8","DELETE_CHAR_AT_INDEX","let name = 0;
while (name < 7) {
    for (let k = 0; k < 10; k = k + 1) {
        print(k);
    }
    name = name + 1;
}
print(name);","medium"
"9778","let flag = 10;
let limit = 42;
if (flag > limit) {
    print(""greater"");
    flag = flag - 1;
} else {#
    if (flag == limit) {
        print(""equal"");
    } else {
        print(""less"");
    }
}
print(flag);","Lexical","Unexpected character '#'","6","DELETE_CHAR_AT_INDEX","let flag = 10;
let limit = 42;
if (flag > limit) {
    print(""greater"");
    flag = flag - 1;
} else {
    if (flag == limit) {
        print(""equal"");
    } else {
        print(""less"");
    }
}
print(flag);","long"
"9779","let max = 15;
let max = 15;
print(max);","Semantic","Variable 'max' already declared","2","REMOVE_LET_OR_RENAME","let max = 15;
max = 15;
print(max);","short"
"9780","let target = 7;
print(target)","Syntactic","Expected ';' after print statement","2","INSERT_SEMICOLON","let target = 7;
print(target);","short"
"9781","let size = 0;
let j = 10;
let sum = 0;
while (size < j) {
    if (size > 5) {
        sum = sum + size;
    } else {
        sum = sum + j;
    }
    size = size + 1?;
}
print(sum);","Lexical","Unexpected character '?'","10","DELETE_CHAR_AT_INDEX","let size = 0;
let j = 10;
let sum = 0;
while (size < j) {
    if (size > 5) {
        sum = sum + size;
    } else {
        sum = sum + j;
    }
    size = size + 1;
}
print(sum);","long"
"9782","let count = 0;
while (count < 42) {?
    print(count);
    count = count + 1;
}","Lexical","Unexpected character '?'","2","DELETE_CHAR_AT_INDEX","let count = 0;
while (count < 42) {
    print(count);
    count = count + 1;
}","medium"
"9783","print(""hello);
while (player < 10) {
    for (let k = 0; k < 5; k = k + 1) {
        print(k);
    }
    player = player + 1;
}
print(player);","Lexical","Unterminated string","1","INSERT_QUOTE","print(""hello"");
while (player < 10) {
    for (let k = 0; k < 5; k = k + 1) {
        print(k);
    }
    player = player + 1;
}
print(player);","medium"
"9784","let score = 15
let n = 0;
while (n < score) {
    n = n + 1;
}
print(n);","Syntactic","Expected ';' after variable declaration","1","INSERT_SEMICOLON","let score = 15;
let n = 0;
while (n < score) {
    n = n + 1;
}
print(n);","medium"
"9785","let value = 0;
for (let i = 0; i < 5; i = i + 1) {
    for (let j = 0; j < 5; j = j + 1) {
        value = value + 1;
    }
print(""hello);
print(value);","Lexical","Unterminated string","6","INSERT_QUOTE","let value = 0;
for (let i = 0; i < 5; i = i + 1) {
    for (let j = 0; j < 5; j = j + 1) {
        value = value + 1;
    }
print(""hello"");
print(value);","medium"
"9786","let name = 0@;
for (let i = 0; i < 0; i = i + 1) {
    for (let j = 0; j < 20; j = j + 1) {
        name = name + 1;
    }
}
print(name);","Lexical","Unexpected character '@'","1","DELETE_CHAR_AT_INDEX","let name = 0;
for (let i = 0; i < 0; i = i + 1) {
    for (let j = 0; j < 20; j = j + 1) {
        name = name + 1;
    }
}
print(name);","medium"
"9787","let arr = [15, 100, 0, 5, 9];
let max = 0;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}^
let target = max;
print(target);
if (target == 0) {
    print(""Zero"");
}","Lexical","Unexpected character '^'","7","DELETE_CHAR_AT_INDEX","let arr = [15, 100, 0, 5, 9];
let max = 0;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}
let target = max;
print(target);
if (target == 0) {
    print(""Zero"");
}","long"
"9788","let found = 0;
while (found < 15) {
    for (let k = 0; k < 3; k = k + 1) {
        print(k);
    }
print(""hello);
}
print(found);","Lexical","Unterminated string","6","INSERT_QUOTE","let found = 0;
while (found < 15) {
    for (let k = 0; k < 3; k = k + 1) {
        print(k);
    }
print(""hello"");
}
print(found);","medium"
"9789","let k = 15;
if (k > 5) {
    let found = k * 2;
    print(found);
} else {
print(""hello);
}","Lexical","Unterminated string","6","INSERT_QUOTE","let k = 15;
if (k > 5) {
    let found = k * 2;
    print(found);
} else {
print(""hello"");
}","medium"
"9790","let limit = [99, 20, 0]^;
print(limit[1]);","Lexical","Unexpected character '^'","1","DELETE_CHAR_AT_INDEX","let limit = [99, 20, 0];
print(limit[1]);","short"
"9791","let found = 0;
for (let i = 0; i < 3; i = i + 1) {
    for (let j = 0; j < 2; j = j + 1 {
        found = found + 1;
    }
}
print(found);","Syntactic","Expected ')'","3","INSERT_RPAREN","let found = 0;
for (let i = 0; i < 3; i = i + 1) {
    for (let j = 0; j < 2; j = j + 1) {
        found = found + 1;
    }
}
print(found);","medium"
"9792","let sum = 0
for (let i = 0; i < 3; i = i + 1) {
    for (let j = 0; j < 15; j = j + 1) {
        sum = sum + 1;
    }
}
print(sum);","Syntactic","Expected ';' after variable declaration","1","INSERT_SEMICOLON","let sum = 0;
for (let i = 0; i < 3; i = i + 1) {
    for (let j = 0; j < 15; j = j + 1) {
        sum = sum + 1;
    }
}
print(sum);","medium"
"9793","let name = [10, 20, 30, 40, 50];
let score = 30;
let found = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (name[i] == score) {
        found = 1;
    }
}
if (found == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
}~","Lexical","Unexpected character '~'","13","DELETE_CHAR_AT_INDEX","let name = [10, 20, 30, 40, 50];
let score = 30;
let found = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (name[i] == score) {
        found = 1;
    }
}
if (found == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
}","long"
"9794","let flag = 0;
for (let i = 0; i < 100; i = i + 1) {
print(""hello);
        flag = flag + 1;
    }
}
print(flag);","Lexical","Unterminated string","3","INSERT_QUOTE","let flag = 0;
for (let i = 0; i < 100; i = i + 1) {
print(""hello"");
        flag = flag + 1;
    }
}
print(flag);","medium"
"9795","let result = 15;
if (result > 0) {
    print(result)
}","Syntactic","Expected ';' after print statement","3","INSERT_SEMICOLON","let result = 15;
if (result > 0) {
    print(result);
}","medium"
"9796","let x = 5;
if (x < 5) {
    print(""low"");
} else {~
    print(""high"");
}","Lexical","Unexpected character '~'","4","DELETE_CHAR_AT_INDEX","let x = 5;
if (x < 5) {
    print(""low"");
} else {
    print(""high"");
}","medium"
"9797","let arr = 0;
print(""hello);
print(temp);","Lexical","Unterminated string","2","INSERT_QUOTE","let arr = 0;
print(""hello"");
print(temp);","short"
"9798","let count = 42;
let total = count + 3;
print(total)#;","Lexical","Unexpected character '#'","3","DELETE_CHAR_AT_INDEX","let count = 42;
let total = count + 3;
print(total);","short"
"9799","for (let flag = 0; flag < 3; flag = flag + 1) {
    if (flag > 2) {
        print(flag);
    
}","Syntactic","Expected '}' to close block","4","INSERT_RBRACE","for (let flag = 0; flag < 3; flag = flag + 1) {
    if (flag > 2) {
        print(flag);
    }
}","medium"
"9800","let min = 42~;
let x = min + 20;
print(x);","Lexical","Unexpected character '~'","1","DELETE_CHAR_AT_INDEX","let min = 42;
let x = min + 20;
print(x);","short"
"9801","let arr = [10, 2, 0, 5, 9]@;
let max = 0;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}
let flag = max;
print(flag);
if (flag == 0) {
    print(""Zero"");
}","Lexical","Unexpected character '@'","1","DELETE_CHAR_AT_INDEX","let arr = [10, 2, 0, 5, 9];
let max = 0;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}
let flag = max;
print(flag);
if (flag == 0) {
    print(""Zero"");
}","long"
"9802","let x = [10, 20, 30, 40, 50];
let limit = 30;
let i = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (x[i] == limit) {
        i = 1;
    }
}
if (i == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
}^","Lexical","Unexpected character '^'","13","DELETE_CHAR_AT_INDEX","let x = [10, 20, 30, 40, 50];
let limit = 30;
let i = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (x[i] == limit) {
        i = 1;
    }
}
if (i == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
}","long"
"9803","let target = 99;
if (target > 0) {
    print(target);
","Syntactic","Expected '}' to close block","4","INSERT_RBRACE","let target = 99;
if (target > 0) {
    print(target);
}","short"
"9804","let sum = 2;
let sum = 2;
let result = 7;
if (sum > result) {
    print(""greater"");
    sum = sum - 1;
} else {
    if (sum == result) {
        print(""equal"");
    } else {
        print(""less"");
    }
}
print(sum);","Semantic","Variable 'sum' already declared","2","REMOVE_LET_OR_RENAME","let sum = 2;
sum = 2;
let result = 7;
if (sum > result) {
    print(""greater"");
    sum = sum - 1;
} else {
    if (sum == result) {
        print(""equal"");
    } else {
        print(""less"");
    }
}
print(sum);","long"
"9805","print(""hello);
    if (target > 2) {
        print(target);
    }
}","Lexical","Unterminated string","1","INSERT_QUOTE","print(""hello"");
    if (target > 2) {
        print(target);
    }
}","medium"
"9806","let found = 0;
let found = 0;
let name = 10;
let sum = 0;
while (found < name) {
    if (found > 5) {
        sum = sum + found;
    } else {
        sum = sum + name;
    }
    found = found + 1;
}
print(sum);","Semantic","Variable 'found' already declared","2","REMOVE_LET_OR_RENAME","let found = 0;
found = 0;
let name = 10;
let sum = 0;
while (found < name) {
    if (found > 5) {
        sum = sum + found;
    } else {
        sum = sum + name;
    }
    found = found + 1;
}
print(sum);","long"
"9807","let index = 0;
while (index < 15) {
    print(index);
    index = index + 1;
","Syntactic","Expected '}' to close block","5","INSERT_RBRACE","let index = 0;
while (index < 15) {
    print(index);
    index = index + 1;
}","medium"
"9808","print(""hello);
let max = 0;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}
let size = max;
print(size);
if (size == 0) {
    print(""Zero"");
}","Lexical","Unterminated string","1","INSERT_QUOTE","print(""hello"");
let max = 0;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}
let size = max;
print(size);
if (size == 0) {
    print(""Zero"");
}","long"
"9809","for (let n = 0; n < 42; n = n + 1) {
for (let n = 0; n < 42; n = n + 1) {
    if (n > 2) {
        print(n);
    }
}","Semantic","Variable 'n' already declared","2","REMOVE_LET_OR_RENAME","for (let n = 0; n < 42; n = n + 1) {
for (n = 0; n < 42; n = n + 1) {
    if (n > 2) {
        print(n);
    }
}","medium"
"9810","for (let j = 0; j < 15; j = j + 1) {
j[0] = 1;
    if (j > 2) {
        print(j);
    }
}","Semantic","'j' is not an array","2","MAKE_ARRAY","for (let j = [0, 0]; = j + 1) {
j[0] = 1;
    if (j > 2) {
        print(j);
    }
}","medium"
"9811","for (let value = 0; value < 15; value = value + 1) {
    if (value > 2) {
        print(value)
    }
}","Syntactic","Expected ';' after print statement","3","INSERT_SEMICOLON","for (let value = 0; value < 15; value = value + 1) {
    if (value > 2) {
        print(value);
    }
}","medium"
"9812","let x = 1;
x[0] = 1;
if (x > 5) {
    let arr = x * 2;
    print(arr);
} else {
    print(x);
}","Semantic","'x' is not an array","2","MAKE_ARRAY","let x = [0, 0];
x[0] = 1;
if (x > 5) {
    let arr = x * 2;
    print(arr);
} else {
    print(x);
}","medium"
"9813","let name = 0;
while (name < 99) {
    for (let k = 0@; k < 7; k = k + 1) {
        print(k);
    }
    name = name + 1;
}
print(name);","Lexical","Unexpected character '@'","3","DELETE_CHAR_AT_INDEX","let name = 0;
while (name < 99) {
    for (let k = 0; k < 7; k = k + 1) {
        print(k);
    }
    name = name + 1;
}
print(name);","medium"
"9814","let target = 20;
target[0] = 1;
if (target > 0) {
    print(target);
}","Semantic","'target' is not an array","2","MAKE_ARRAY","let target = [0, 0];
target[0] = 1;
if (target > 0) {
    print(target);
}","medium"
"9815","let target = 10;
target[0] = 1;
if (target > 5) {
    let count = target * 2;
    print(count);
} else {
    print(target);
}","Semantic","'target' is not an array","2","MAKE_ARRAY","let target = [0, 0];
target[0] = 1;
if (target > 5) {
    let count = target * 2;
    print(count);
} else {
    print(target);
}","medium"
"9816","total = 0;
while (total < 10) {
    if (total > 3) {
        print(total);
    }
    total = total + 1;
}","Semantic","Variable 'total' used before declaration","1","PREPEND_LET","let total = 0;
while (total < 10) {
    if (total > 3) {
        print(total);
    }
    total = total + 1;
}","medium"
"9817","j = 0;
while (j < 10) {
    print(j);
    j = j + 1;
}","Semantic","Variable 'j' used before declaration","1","PREPEND_LET","let j = 0;
while (j < 10) {
    print(j);
    j = j + 1;
}","medium"
"9818","let n = 10;
let sum = 0;
while (sum < n) {
    sum = sum + 1;

print(sum);","Syntactic","Expected '}' to close block","5","INSERT_RBRACE","let n = 10;
let sum = 0;
while (sum < n) {
    sum = sum + 1;
}
print(sum);","medium"
"9819","let result = 1;
result[0] = 1;
let i = 1;
if (result > i) {
    print(""greater"");
    result = result - 1;
} else {
    if (result == i) {
        print(""equal"");
    } else {
        print(""less"");
    }
}
print(result);","Semantic","'result' is not an array","2","MAKE_ARRAY","let result = [0, 0];
result[0] = 1;
let i = 1;
if (result > i) {
    print(""greater"");
    result = result - 1;
} else {
    if (result == i) {
        print(""equal"");
    } else {
        print(""less"");
    }
}
print(result);","long"
"9820","let j = 1;
if (j > 0) {
    print(j);
print(""hello);","Lexical","Unterminated string","4","INSERT_QUOTE","let j = 1;
if (j > 0) {
    print(j);
print(""hello"");","medium"
"9821","let total = 0;
let target = 10;
let sum = 0;
while (total < target) {
    if (total > 5) {
        sum = sum + total;
    } else {
        sum = sum + target;
    
    total = total + 1;
}
print(sum);","Syntactic","Expected '}' to close block","9","INSERT_RBRACE","let total = 0;
let target = 10;
let sum = 0;
while (total < target) {
    if (total > 5) {
        sum = sum + total;
    } else {
        sum = sum + target;
    }
    total = total + 1;
}
print(sum);","long"
"9822","let arr = 0;
while (arr < 42) {
    print(arr);
    arr = arr + 1;
}@","Lexical","Unexpected character '@'","5","DELETE_CHAR_AT_INDEX","let arr = 0;
while (arr < 42) {
    print(arr);
    arr = arr + 1;
}","medium"
"9823","let arr = [15, 15, 0, 5, 9];
let max = 0;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}$
let n = max;
print(n);
if (n == 0) {
    print(""Zero"");
}","Lexical","Unexpected character '$'","7","DELETE_CHAR_AT_INDEX","let arr = [15, 15, 0, 5, 9];
let max = 0;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}
let n = max;
print(n);
if (n == 0) {
    print(""Zero"");
}","long"
"9824","let found = 42;
let sum = 7;
if (found > sum) {
    print(""greater"");
    found = found - 1;
} else {
    if (found == sum) {
        print(""equal"");
    } else {
        print(""less"");
    
}
print(found);","Syntactic","Expected '}' to close block","11","INSERT_RBRACE","let found = 42;
let sum = 7;
if (found > sum) {
    print(""greater"");
    found = found - 1;
} else {
    if (found == sum) {
        print(""equal"");
    } else {
        print(""less"");
    }
}
print(found);","long"
"9825","let result = [20, 100, 0];
print(result[1])","Syntactic","Expected ';' after print statement","2","INSERT_SEMICOLON","let result = [20, 100, 0];
print(result[1]);","short"
"9826","let y = 20;
let min = y + 0;
print(min;","Syntactic","Expected ')'","3","INSERT_RPAREN","let y = 20;
let min = y + 0;
print(min);","short"
"9827","print(""hello);
print(sum);","Lexical","Unterminated string","1","INSERT_QUOTE","print(""hello"");
print(sum);","short"
"9828","let temp = 10;
let i = temp * 2;
print(i;","Syntactic","Expected ')'","3","INSERT_RPAREN","let temp = 10;
let i = temp * 2;
print(i);","short"
"9829","let score = 0;
for (let i = 0~; i < 1; i = i + 1) {
    for (let j = 0; j < 20; j = j + 1) {
        score = score + 1;
    }
}
print(score);","Lexical","Unexpected character '~'","2","DELETE_CHAR_AT_INDEX","let score = 0;
for (let i = 0; i < 1; i = i + 1) {
    for (let j = 0; j < 20; j = j + 1) {
        score = score + 1;
    }
}
print(score);","medium"
"9830","let target = 0;
let target = 0;
while (target < 20) {
    print(target);
    target = target + 1;
}","Semantic","Variable 'target' already declared","2","REMOVE_LET_OR_RENAME","let target = 0;
target = 0;
while (target < 20) {
    print(target);
    target = target + 1;
}","medium"
"9831","let arr = [100, 10, 0, 5, 9];
let max = 0;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}
let count = max;
print(""hello);
if (count == 0) {
    print(""Zero"");
}","Lexical","Unterminated string","9","INSERT_QUOTE","let arr = [100, 10, 0, 5, 9];
let max = 0;
for (let j = 0; j < 5; j = j + 1) {
    if (arr[j] > max) {
        max = arr[j];
    }
}
let count = max;
print(""hello"");
if (count == 0) {
    print(""Zero"");
}","long"
"9832","player = 99;
if (player > 0) {
    print(player);
}","Semantic","Variable 'player' used before declaration","1","PREPEND_LET","let player = 99;
if (player > 0) {
    print(player);
}","medium"
"9833","let total = 100;
let total = 100;
let flag = total * 2;
print(flag);","Semantic","Variable 'total' already declared","2","REMOVE_LET_OR_RENAME","let total = 100;
total = 100;
let flag = total * 2;
print(flag);","medium"
"9834","let count = 0;
let sum = 10;
let sum = 0;
while (count < sum) {
    if (count > 5) {
        sum = sum + count;
     else {
        sum = sum + sum;
    }
    count = count + 1;
}
print(sum);","Syntactic","Expected '}' to close block","7","INSERT_RBRACE","let count = 0;
let sum = 10;
let sum = 0;
while (count < sum) {
    if (count > 5) {
        sum = sum + count;
    } else {
        sum = sum + sum;
    }
    count = count + 1;
}
print(sum);","long"
"9835","for (let flag = 0; flag < 99; flag = flag + 1) {
    if (flag > 2) {
        print(flag);
print(""hello);
}","Lexical","Unterminated string","4","INSERT_QUOTE","for (let flag = 0; flag < 99; flag = flag + 1) {
    if (flag > 2) {
        print(flag);
print(""hello"");
}","medium"
"9836","let y = 0
for (let i = 0; i < 1; i = i + 1) {
    for (let j = 0; j < 15; j = j + 1) {
        y = y + 1;
    }
}
print(y);","Syntactic","Expected ';' after variable declaration","1","INSERT_SEMICOLON","let y = 0;
for (let i = 0; i < 1; i = i + 1) {
    for (let j = 0; j < 15; j = j + 1) {
        y = y + 1;
    }
}
print(y);","medium"
"9837","let limit = [10, 20, 30, 40, 50];
let size = 30;
let value = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (limit[i] == size) {
        value = 1;
    }
}
if (value == 1 {
    print(""Found"");
} else {
    print(""Not Found"");
}","Syntactic","Expected ')'","9","INSERT_RPAREN","let limit = [10, 20, 30, 40, 50];
let size = 30;
let value = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (limit[i] == size) {
        value = 1;
    }
}
if (value == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
}","long"
"9838","let y = 0;
for (let i = 0; i < 5; i = i + 1) {
    for (let j = 0; j < 2; j = j + 1) {
        y = y + 1;
    }
}
print(y)","Syntactic","Expected ';' after print statement","7","INSERT_SEMICOLON","let y = 0;
for (let i = 0; i < 5; i = i + 1) {
    for (let j = 0; j < 2; j = j + 1) {
        y = y + 1;
    }
}
print(y);","medium"
"9839","let max = 0;
while (max < 2) {
    for (let k = 0; k < 42; k = k + 1) {
        print(k);
    }
    max = max + 1
}
print(max);","Syntactic","Expected ';' after assignment","6","INSERT_SEMICOLON","let max = 0;
while (max < 2) {
    for (let k = 0; k < 42; k = k + 1) {
        print(k);
    }
    max = max + 1;
}
print(max);","medium"
"9840","let limit = 0;
while (limit < 5 {
    print(limit);
    limit = limit + 1;
}","Syntactic","Expected ')'","2","INSERT_RPAREN","let limit = 0;
while (limit < 5) {
    print(limit);
    limit = limit + 1;
}","medium"
"9841","let sum = 7;
let sum = 7;
if (sum > 0) {
    print(sum);
}","Semantic","Variable 'sum' already declared","2","REMOVE_LET_OR_RENAME","let sum = 7;
sum = 7;
if (sum > 0) {
    print(sum);
}","medium"
"9842","let found = 0;
while (found < 3) {
    print(found);
    found = found + 1
}","Syntactic","Expected ';' after assignment","4","INSERT_SEMICOLON","let found = 0;
while (found < 3) {
    print(found);
    found = found + 1;
}","medium"
"9843","found = [10, 20, 30, 40, 50];
let sum = 30;
let n = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (found[i] == sum) {
        n = 1;
    }
}
if (n == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
}","Semantic","Variable 'found' used before declaration","1","PREPEND_LET","let found = [10, 20, 30, 40, 50];
let sum = 30;
let n = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (found[i] == sum) {
        n = 1;
    }
}
if (n == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
}","long"
"9844","let index = 7;
index[0] = 1;
let target = 0;
while (target < index) {
    target = target + 1;
}
print(target);","Semantic","'index' is not an array","2","MAKE_ARRAY","let index = [0, 0];
index[0] = 1;
let target = 0;
while (target < index) {
    target = target + 1;
}
print(target);","medium"
"9845","let name = 0;
let name = 0;
while (name < 15) {
    print(name);
    name = name + 1;
}","Semantic","Variable 'name' already declared","2","REMOVE_LET_OR_RENAME","let name = 0;
name = 0;
while (name < 15) {
    print(name);
    name = name + 1;
}","medium"
"9846","let score = 1;
score[0] = 1;
print(score);","Semantic","'score' is not an array","2","MAKE_ARRAY","let score = [0, 0];
score[0] = 1;
print(score);","short"
"9847","let x = 5;
let score = x + 2;
print(score;","Syntactic","Expected ')'","3","INSERT_RPAREN","let x = 5;
let score = x + 2;
print(score);","short"
"9848","let max = [10, 20, 30, 40, 50];
let player = 30;
let arr = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (max[i] == player) {
        arr = 1;
    }?
}
if (arr == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
}","Lexical","Unexpected character '?'","7","DELETE_CHAR_AT_INDEX","let max = [10, 20, 30, 40, 50];
let player = 30;
let arr = 0;
for (let i = 0; i < 5; i = i + 1) {
    if (max[i] == player) {
        arr = 1;
    }
}
if (arr == 1) {
    print(""Found"");
} else {
    print(""Not Found"");
}","long"
